date,calories,distance,steps,lightly_active_minutes,moderately_active_minutes,very_active_minutes,sedentary_minutes
2025-06-01,1843.26,322560.0,3734.0,187.0,6.0,3.0,1244.0
2025-06-02,1916.65,359963.0,4153.0,229.0,1.0,8.0,1202.0
2025-06-03,1634.21,141966.0,1954.0,105.0,0.0,0.0,1335.0
2025-06-04,1777.45,302342.0,3145.0,149.0,3.0,8.0,1280.0
2025-06-05,1862.54,341645.0,3616.0,208.0,0.0,0.0,1232.0
2025-06-06,1704.78,263602.0,2815.0,127.0,2.0,7.0,1304.0
2025-06-07,1816.9,320003.0,3288.0,184.0,0.0,0.0,1256.0
2025-06-08,1725.72,297275.0,2975.0,103.0,2.0,10.0,1325.0
2025-06-09,1781.47,385216.0,3939.0,171.0,0.0,8.0,1261.0
2025-06-10,1918.31,461360.0,5671.0,218.0,7.0,0.0,1215.0
2025-06-11,1802.92,302816.0,3323.0,162.0,2.0,8.0,1268.0
2025-06-12,1808.55,339121.0,3551.0,160.0,3.0,7.0,1270.0
2025-06-13,1766.79,344903.0,3558.0,133.0,6.0,14.0,1287.0
2025-06-14,1971.8799999999999,549556.0,5739.0,196.0,8.0,24.0,1212.0
2025-06-15,1761.09,327423.0,3344.0,142.0,0.0,0.0,1298.0
2025-06-16,2104.35,839638.0,8711.0,220.0,26.0,20.0,1174.0
2025-06-17,1788.55,243422.0,2757.0,178.0,0.0,0.0,1262.0
2025-06-18,1975.37,465032.0,5003.0,210.0,6.0,16.0,1208.0
2025-06-19,2061.86,453611.0,5502.0,355.0,0.0,0.0,1085.0
2025-06-20,1998.55,615897.0,6670.0,225.0,2.0,15.0,1198.0
2025-06-21,2135.3,655215.0,7315.0,298.0,11.0,5.0,1126.0
2025-06-22,1905.58,425861.0,5189.0,264.0,0.0,0.0,1176.0
2025-06-23,2130.11,530371.0,6081.0,276.0,13.0,22.0,1129.0
2025-06-24,2239.81,997162.0,10457.0,342.0,3.0,14.0,1081.0
2025-06-25,1734.16,271455.0,2975.0,145.0,2.0,8.0,1285.0
2025-06-26,1754.8899999999999,226786.0,2619.0,166.0,0.0,0.0,1274.0
2025-06-27,1769.3,221420.0,2406.0,162.0,0.0,0.0,1278.0
2025-06-28,1783.29,329785.0,3438.0,150.0,2.0,8.0,1280.0
2025-06-29,1755.76,292427.0,2984.0,149.0,0.0,0.0,1291.0
2025-06-30,1943.19,307748.0,3052.0,229.0,0.0,0.0,1211.0
2025-07-01,1737.32,504986.0,5475.0,117.0,1.0,17.0,1305.0
2025-07-02,1759.41,327972.0,3410.0,168.0,4.0,6.0,1262.0
2025-07-03,1757.49,244704.0,2686.0,149.0,0.0,0.0,1291.0
2025-07-04,1840.76,343668.0,3435.0,171.0,3.0,6.0,1260.0
2025-07-05,1778.16,344637.0,3609.0,154.0,0.0,0.0,1286.0
2025-07-06,1883.3799999999999,449692.0,4863.0,186.0,4.0,16.0,1234.0
2025-07-07,1854.76,218632.0,2404.0,166.0,12.0,6.0,1256.0
2025-07-08,1803.56,577860.0,6199.0,165.0,0.0,0.0,1275.0
2025-07-09,1620.01,316845.0,3268.0,95.0,0.0,0.0,1345.0
2025-07-10,1656.54,174549.0,1868.0,112.0,0.0,0.0,1328.0
2025-07-11,1802.48,208960.0,2275.0,158.0,4.0,7.0,1271.0
2025-07-12,1672.84,330482.0,3450.0,87.0,3.0,7.0,1343.0
2025-07-13,1732.8,277475.0,2661.0,154.0,0.0,0.0,1286.0
2025-07-14,1704.52,228047.0,3188.0,157.0,0.0,0.0,1283.0
2025-07-15,1748.1399999999999,215592.0,2451.0,166.0,0.0,0.0,1274.0
2025-07-16,1826.01,286950.0,3494.0,153.0,5.0,14.0,1268.0
2025-07-17,1807.09,324616.0,3248.0,177.0,2.0,7.0,1254.0
2025-07-18,1727.18,329689.0,3293.0,117.0,4.0,7.0,1312.0
2025-07-19,1801.91,281711.0,2751.0,182.0,4.0,6.0,1248.0
2025-07-20,1841.68,309168.0,3648.0,188.0,0.0,0.0,1252.0
2025-07-21,1621.5,272007.0,3054.0,98.0,0.0,0.0,1342.0
2025-07-22,1820.18,262390.0,2615.0,175.0,0.0,0.0,1265.0
2025-07-23,1853.04,394087.0,4116.0,179.0,11.0,6.0,1244.0
2025-07-24,1747.94,350747.0,3586.0,147.0,0.0,0.0,1293.0
2025-07-25,1884.7,401943.0,4175.0,192.0,4.0,16.0,1228.0
2025-07-26,1853.47,363817.0,3784.0,168.0,3.0,16.0,1253.0
2025-07-27,1936.01,422524.0,4502.0,211.0,6.0,16.0,1207.0
2025-07-28,2057.41,588316.0,6203.0,159.0,10.0,35.0,1236.0
2025-07-29,1796.16,679331.0,6467.0,167.0,2.0,8.0,1263.0
2025-07-30,2016.45,626076.0,6474.0,208.0,12.0,18.0,1202.0
2025-07-31,2038.74,363722.0,3898.0,163.0,20.0,35.0,1222.0
2025-08-01,1986.12,874124.0,8923.0,249.0,7.0,3.0,1181.0
2025-08-02,2008.8799999999999,589756.0,6833.0,296.0,0.0,0.0,1144.0
2025-08-03,1801.18,213036.0,2361.0,155.0,4.0,16.0,1265.0
2025-08-04,1861.54,318602.0,3627.0,228.0,0.0,0.0,1212.0
2025-08-05,1889.02,407128.0,4438.0,192.0,3.0,7.0,1238.0
2025-08-06,1832.22,429426.0,4789.0,170.0,3.0,7.0,1260.0
2025-08-07,1755.16,367816.0,3937.0,139.0,0.0,0.0,1301.0
2025-08-08,2162.96,875792.0,8135.0,194.0,13.0,49.0,1184.0
2025-08-09,1745.23,371585.0,3832.0,127.0,4.0,6.0,1303.0
2025-08-10,1787.57,322472.0,3260.0,163.0,0.0,0.0,1277.0
2025-08-11,1782.14,390303.0,4370.0,167.0,0.0,0.0,1273.0
2025-08-12,1671.29,141202.0,1708.0,152.0,0.0,0.0,1288.0
2025-08-13,1799.72,214336.0,2494.0,182.0,0.0,0.0,1258.0
2025-08-14,1889.53,267865.0,3215.0,229.0,2.0,8.0,1201.0
2025-08-15,1862.2,460686.0,4951.0,178.0,5.0,15.0,1242.0
2025-08-16,1741.66,326502.0,3369.0,152.0,0.0,0.0,1288.0
2025-08-17,1812.46,308103.0,3238.0,184.0,0.0,0.0,1256.0
2025-08-18,1862.45,354104.0,3532.0,189.0,2.0,12.0,1237.0
2025-08-19,1811.59,405466.0,4028.0,171.0,2.0,8.0,1259.0
2025-08-20,2100.97,726938.0,7401.0,220.0,27.0,29.0,1164.0
2025-08-21,1815.71,305536.0,3407.0,169.0,3.0,7.0,1261.0
2025-08-22,1768.24,342583.0,3675.0,161.0,2.0,7.0,1270.0
2025-08-23,1972.81,398018.0,4863.0,275.0,0.0,0.0,1165.0
2025-08-24,1854.96,408710.0,4489.0,196.0,0.0,0.0,1244.0
2025-08-25,1831.94,310568.0,3150.0,169.0,12.0,1.0,1258.0
2025-08-26,1964.0,434918.0,4670.0,251.0,11.0,0.0,1178.0
2025-08-27,2163.76,832377.0,9522.0,289.0,20.0,14.0,1117.0
2025-08-28,1810.91,321570.0,3357.0,184.0,0.0,0.0,1256.0
2025-08-29,1738.93,348007.0,3739.0,166.0,0.0,0.0,1274.0
2025-08-30,1807.85,202391.0,2322.0,177.0,1.0,7.0,1255.0
2025-08-31,1699.14,324612.0,3403.0,112.0,0.0,0.0,1328.0
2025-09-01,2147.72,861900.0,7678.0,188.0,9.0,34.0,1209.0
2025-09-02,1988.3,823448.0,7534.0,154.0,0.0,34.0,1252.0
2025-09-03,2029.95,609327.0,6452.0,237.0,7.0,16.0,1180.0
2025-09-04,1531.56,124176.0,1757.0,70.0,0.0,0.0,1370.0
2025-09-05,1704.12,149804.0,1477.0,109.0,3.0,7.0,1321.0
2025-09-06,1758.66,238421.0,2784.0,162.0,2.0,8.0,1268.0
2025-09-07,1783.62,300865.0,3022.0,152.0,6.0,15.0,1267.0
2025-09-08,1976.52,459082.0,4678.0,227.0,7.0,13.0,1193.0
2025-09-09,1989.71,457941.0,5349.0,290.0,0.0,0.0,1150.0
2025-09-10,1821.46,352925.0,3904.0,200.0,0.0,0.0,1240.0
2025-09-11,1784.9,269402.0,3161.0,144.0,7.0,12.0,1277.0
2025-09-12,1711.85,375725.0,3707.0,111.0,1.0,9.0,1319.0
2025-09-13,1719.96,301345.0,3001.0,155.0,0.0,0.0,1285.0
2025-09-14,1795.1,249204.0,2747.0,187.0,2.0,7.0,1244.0
2025-09-15,1814.99,255286.0,2990.0,172.0,3.0,7.0,1258.0
2025-09-16,1856.04,404896.0,4163.0,190.0,5.0,6.0,1239.0
2025-09-17,1771.47,348564.0,3855.0,174.0,0.0,0.0,1266.0
2025-09-18,1858.2,302376.0,3436.0,183.0,5.0,7.0,1245.0
2025-09-19,1716.12,325956.0,3230.0,111.0,4.0,8.0,1317.0
2025-09-20,1799.56,287226.0,2807.0,137.0,13.0,9.0,1281.0
2025-09-21,1750.53,380988.0,3910.0,153.0,2.0,7.0,1278.0
2025-09-22,1776.48,290132.0,3170.0,163.0,0.0,0.0,1277.0
2025-09-23,2027.6299999999999,604132.0,6668.0,245.0,10.0,1.0,1184.0
2025-09-24,1527.65,201102.0,2141.0,63.0,0.0,0.0,1377.0
2025-09-25,1730.08,213652.0,2265.0,146.0,0.0,0.0,1294.0
2025-09-26,1783.6,236478.0,2626.0,159.0,0.0,0.0,1281.0
2025-09-27,1927.05,334227.0,3577.0,175.0,2.0,14.0,1249.0
2025-09-28,1684.62,554829.0,5148.0,104.0,0.0,0.0,1336.0
2025-09-29,1847.2,410362.0,4390.0,186.0,0.0,0.0,1254.0
2025-09-30,1695.8899999999999,286653.0,2846.0,100.0,2.0,7.0,1331.0
2025-10-01,1966.59,742775.0,7258.0,157.0,6.0,29.0,1248.0
2025-10-02,1710.86,186331.0,2111.0,97.0,8.0,14.0,1321.0
2025-10-03,1660.93,315082.0,3104.0,86.0,2.0,7.0,1345.0
2025-10-04,1664.4,282921.0,2777.0,121.0,0.0,0.0,1319.0
2025-10-05,1468.8,29194.0,426.0,29.0,0.0,0.0,1411.0
2025-10-06,1464.47,16861.0,246.0,26.0,0.0,0.0,1414.0
2025-10-07,1696.48,136676.0,1359.0,86.0,6.0,14.0,1334.0
2025-10-08,2183.59,675960.0,7011.0,338.0,9.0,11.0,1082.0
2025-10-09,1933.51,683185.0,7362.0,199.0,0.0,0.0,1241.0
2025-10-10,1972.65,603356.0,5973.0,215.0,3.0,5.0,1217.0
2025-10-11,2097.05,676188.0,7415.0,301.0,0.0,0.0,1139.0
2025-10-12,1781.56,174999.0,1915.0,148.0,6.0,8.0,1278.0
2025-10-13,1758.69,401938.0,4395.0,143.0,0.0,0.0,1297.0
2025-10-14,1825.2,390646.0,3968.0,147.0,5.0,15.0,1273.0
2025-10-15,1644.72,285950.0,3225.0,120.0,0.0,0.0,1320.0
2025-10-16,1747.34,224924.0,2368.0,107.0,9.0,16.0,1308.0
2025-10-17,1723.71,275978.0,2579.0,111.0,8.0,2.0,1319.0
2025-10-18,1783.8799999999999,368725.0,3907.0,164.0,0.0,0.0,1276.0
2025-10-19,1666.76,284453.0,2857.0,86.0,2.0,7.0,1345.0
2025-10-20,2232.08,1057474.0,9409.0,161.0,20.0,52.0,1207.0
2025-10-21,1807.44,402839.0,4394.0,158.0,4.0,7.0,1271.0
2025-10-22,1966.23,498357.0,5825.0,209.0,17.0,16.0,1198.0
2025-10-23,1755.81,370708.0,3731.0,159.0,0.0,0.0,1281.0
2025-10-24,1702.45,280396.0,2633.0,107.0,4.0,6.0,1323.0
2025-10-25,1683.16,304612.0,3112.0,104.0,0.0,0.0,1336.0
2025-10-26,1696.2,315989.0,3167.0,116.0,4.0,7.0,1313.0
2025-10-27,1777.3,197673.0,2166.0,170.0,0.0,0.0,1270.0
2025-10-28,1853.7,322078.0,3159.0,165.0,6.0,5.0,1264.0
2025-10-29,1528.22,337095.0,3499.0,57.0,0.0,0.0,1383.0
2025-10-30,1676.5,149176.0,1555.0,100.0,0.0,0.0,1340.0
2025-10-31,1882.23,582182.0,5912.0,128.0,19.0,16.0,1277.0
2025-11-01,1789.29,290849.0,2947.0,171.0,0.0,0.0,1269.0
2025-11-02,1694.79,270716.0,2698.0,133.0,0.0,0.0,1307.0
2025-11-03,1972.58,298036.0,3406.0,255.0,0.0,0.0,1185.0
2025-11-04,1947.94,687171.0,7226.0,224.0,0.0,0.0,1216.0
2025-11-05,1655.18,240564.0,2725.0,119.0,0.0,0.0,1321.0
2025-11-06,1825.3,250016.0,2798.0,175.0,3.0,8.0,1254.0
2025-11-07,1785.46,376878.0,3931.0,165.0,0.0,0.0,1275.0
2025-11-08,1739.66,306631.0,3067.0,131.0,3.0,7.0,1299.0
2025-11-09,1637.93,248910.0,2415.0,78.0,0.0,0.0,1362.0
2025-11-10,1806.11,280915.0,2739.0,157.0,4.0,7.0,1272.0
2025-11-11,1726.97,352617.0,3564.0,121.0,3.0,10.0,1306.0
2025-11-12,1510.26,189155.0,1941.0,51.0,0.0,0.0,1389.0
2025-11-13,1735.75,214423.0,2333.0,122.0,2.0,7.0,1309.0
2025-11-14,1680.86,265490.0,2501.0,81.0,4.0,15.0,1340.0
2025-11-15,1732.07,295619.0,2988.0,126.0,3.0,8.0,1303.0
2025-11-16,1786.1299999999999,295092.0,3340.0,168.0,8.0,2.0,1262.0
2025-11-17,1732.85,314667.0,3326.0,133.0,0.0,0.0,1307.0
2025-11-18,1685.39,264319.0,2543.0,109.0,0.0,0.0,1331.0
2025-11-19,1862.1299999999999,470275.0,5211.0,193.0,20.0,7.0,1220.0
2025-11-20,1706.9,173870.0,1921.0,109.0,2.0,8.0,1321.0
2025-11-21,1687.91,278573.0,2632.0,95.0,4.0,7.0,1334.0
2025-11-22,1709.08,266073.0,2639.0,109.0,2.0,9.0,1320.0
2025-11-23,1658.85,195356.0,2074.0,111.0,0.0,0.0,1329.0
2025-11-24,1785.15,339762.0,3637.0,160.0,2.0,8.0,1270.0
2025-11-25,1753.23,309594.0,3104.0,144.0,0.0,0.0,1296.0
2025-11-26,1658.55,183181.0,1889.0,88.0,6.0,6.0,1340.0
2025-11-27,1684.34,347026.0,3612.0,97.0,3.0,8.0,1332.0
2025-11-28,1707.27,264177.0,2517.0,130.0,0.0,0.0,1310.0
2025-11-29,1884.59,357665.0,4027.0,232.0,6.0,1.0,1201.0
2025-11-30,1849.37,226317.0,3227.0,236.0,0.0,0.0,1204.0
2025-12-01,1687.86,269356.0,3697.0,144.0,0.0,0.0,1296.0
2025-12-02,1686.99,167064.0,2232.0,147.0,0.0,0.0,1293.0
2025-12-03,1705.8,271787.0,3051.0,124.0,3.0,6.0,1307.0
2025-12-04,2175.9,550642.0,5749.0,321.0,9.0,11.0,1099.0
2025-12-05,2016.2,473861.0,5787.0,314.0,0.0,0.0,1126.0
2025-12-06,1782.48,337575.0,4132.0,164.0,0.0,0.0,1276.0
2025-12-07,1810.48,264043.0,2515.0,173.0,2.0,9.0,1256.0
2025-12-08,1736.3,334269.0,3527.0,142.0,0.0,0.0,1298.0
2025-12-09,1683.79,293190.0,2815.0,109.0,0.0,0.0,1331.0
2025-12-10,1547.67,144570.0,1487.0,73.0,0.0,0.0,1367.0
2025-12-11,1692.1,183104.0,1987.0,117.0,0.0,0.0,1323.0
2025-12-12,1725.92,271153.0,2698.0,126.0,0.0,0.0,1314.0
2025-12-13,1651.01,284670.0,2853.0,106.0,0.0,0.0,1334.0
2025-12-14,1877.73,564962.0,5375.0,154.0,3.0,8.0,1275.0
2025-12-15,1763.06,225643.0,2599.0,146.0,4.0,5.0,1285.0
2025-12-16,1689.62,255940.0,2512.0,102.0,4.0,8.0,1326.0
2025-12-17,1761.02,185025.0,1892.0,116.0,14.0,9.0,1301.0
2025-12-18,1706.81,459860.0,4639.0,122.0,0.0,0.0,1318.0
2025-12-19,1846.24,505931.0,5103.0,116.0,18.0,22.0,1284.0
2025-12-20,1721.96,282880.0,2814.0,125.0,2.0,8.0,1305.0
2025-12-21,1760.6,292073.0,2953.0,141.0,0.0,0.0,1299.0
2025-12-22,1843.34,384446.0,4006.0,187.0,2.0,7.0,1244.0
2025-12-23,1758.53,349631.0,3622.0,143.0,0.0,0.0,1297.0
2025-12-24,1952.8,814514.0,8010.0,151.0,3.0,27.0,1259.0
2025-12-25,1702.14,141819.0,1450.0,105.0,4.0,9.0,1322.0
2025-12-26,1697.68,301059.0,2921.0,96.0,4.0,7.0,1333.0
2025-12-27,1718.66,299322.0,2907.0,105.0,2.0,8.0,1325.0
2025-12-28,1782.22,385451.0,4267.0,176.0,4.0,6.0,1254.0
2025-12-29,1751.28,186662.0,1979.0,129.0,6.0,14.0,1291.0
2025-12-30,1766.06,312437.0,3270.0,164.0,1.0,6.0,1269.0
2025-12-31,1813.65,555257.0,5977.0,128.0,15.0,12.0,1285.0
2026-01-01,1708.99,152043.0,1585.0,110.0,0.0,0.0,1330.0
2026-01-02,1412.46,315298.0,3069.0,70.0,0.0,0.0,1155.0
